PRES (hPa),HGHT (m),TEMP (C),DWPT (C),RELH (%),MIXR (g/kg),DRCT (deg),SKNT (knot),THTA (K),THTE (K),THTV (K)
1006.0,3,26.4,24.6,90,19.82,0,0,299.0,357.1,302.6
1000.0,66,26.4,25.1,93,20.56,185,1,299.6,360.0,303.2
965.0,382,25.8,24.4,92,20.43,192,4,302.0,362.7,305.7
925.0,755,23.6,21.0,85,17.25,200,7,303.4,354.9,306.6
886.0,1132,21.4,17.5,78,14.41,203,8,304.9,348.2,307.6
850.0,1492,19.8,17.3,86,14.84,205,9,306.9,351.8,309.6
789.0,2132,15.6,14.7,94,13.51,209,10,309.0,350.2,311.5
776.0,2273,14.9,14.2,96,13.33,210,10,309.8,350.6,312.2
742.0,2653,13.2,13.0,99,12.85,212,11,311.8,351.6,314.2
722.0,2884,13.0,10.0,82,10.79,214,11,314.1,347.8,316.1
703.0,3108,11.8,8.4,80,9.94,215,12,315.1,346.4,317.0
700.0,3144,11.4,8.3,81,9.91,215,12,315.1,346.3,317.0
557.0,5018,0.8,-0.9,88,6.48,212,11,323.8,345.2,325.1
512.0,5692,-1.9,-2.3,97,6.35,210,11,328.4,349.8,329.7
500.0,5880,-2.7,-3.5,94,5.95,210,11,329.7,349.8,330.9
488.0,6069,-3.7,-4.6,94,5.62,210,10,330.7,349.9,331.9
400.0,7620,-12.1,-13.3,91,3.45,260,5,339.2,351.6,339.9
386.0,7893,-13.1,-15.3,84,3.03,262,6,341.3,352.4,342.0
342.0,8806,-19.7,-20.2,96,2.26,271,8,344.4,352.8,344.8
333.0,9004,-20.7,-22.7,84,1.86,273,9,345.6,352.7,346.0
315.0,9414,-22.9,-27.9,64,1.23,277,10,348.1,352.9,348.4
300.0,9770,-25.9,-30.3,66,1.03,280,11,348.8,352.9,349.0
288.0,10062,-28.1,-31.8,70,0.93,280,10,349.8,353.5,350.0
273.0,10444,-30.9,-33.8,76,0.81,295,10,351.0,354.3,351.2
258.0,10841,-34.1,-38.0,68,0.56,311,9,352.0,354.4,352.2
250.0,11060,-35.9,-39.3,71,0.51,320,9,352.6,354.7,352.7
238.0,11393,-38.8,-42.2,70,0.39,325,11,353.2,354.9,353.3
200.0,12570,-48.9,-52.6,65,0.15,305,12,355.2,355.8,355.2
194.0,12770,-50.9,-54.5,65,0.12,299,13,355.1,355.6,355.1
191.0,12871,-51.7,-59.7,38,0.06,296,13,355.4,355.7,355.4
190.0,12905,-52.0,-59.3,41,0.07,295,13,355.4,355.7,355.4
185.0,13077,-53.7,-57.0,67,0.09,298,13,355.4,355.8,355.4
171.0,13578,-58.5,-62.3,61,0.05,306,14,355.5,355.8,355.5
153.0,14269,-64.5,-68.9,55,0.02,318,16,356.8,356.9,356.8
150.0,14390,-65.5,-70.0,53,0.02,320,16,357.1,357.2,357.1
127.0,15379,-74.3,-78.7,51,0.01,339,17,358.6,358.6,358.6
126.0,15424,-74.6,-78.9,51,0.01,340,17,358.9,358.9,358.9
117.0,15846,-77.0,-81.2,51,0.00,0,15,362.1,362.2,362.1
108.0,16302,-79.6,-83.7,51,0.00,55,16,365.6,365.6,365.6
100.0,16740,-82.1,-86.0,52,0.00,70,20,368.9,368.9,368.9
86.3,17562,-85.3,-88.6,56,0.00,70,36,378.3,378.3,378.3
73.5,18463,-79.5,-88.5,22,0.00,70,54,408.3,408.3,408.3
73.0,18502,-79.7,-88.7,22,0.00,70,55,408.6,408.6,408.6
70.2,18724,-80.9,-89.9,21,0.00,65,69,410.7,410.7,410.7
70.0,18740,-80.7,-89.7,21,0.00,65,70,411.4,411.4,411.4
69.0,NaN,NaN,NaN,NaN,NaN,65,78,NaN,NaN,NaN
66.0,NaN,NaN,NaN,NaN,NaN,60,141,NaN,NaN,NaN
65.9,NaN,NaN,NaN,NaN,NaN,60,141,NaN,NaN,NaN
